p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,index
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:54.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:55.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:55.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:56.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:56.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:57.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:57.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:58.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:58.516000
545,2025,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:01:59.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:03.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:04.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:04.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:05.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:05.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:06.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:06.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:07.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:07.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:08.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:08.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:09.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:09.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:10.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:10.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:11.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:11.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:12.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:12.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:13.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:13.516000
0,353,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:14.016000
0,240,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:14.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:15.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:15.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:16.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:16.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:17.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:17.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:18.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:18.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:19.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:19.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:20.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:20.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:21.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:21.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:22.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:22.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:23.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:23.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:24.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:24.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:25.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:25.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:26.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:26.516000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:27.016000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:27.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:28.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:28.517000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:29.017000
0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22T19:02:29.517000
